ImageId,Depth,Distance,Scaling,Error
1,680.0,5.699942685386741,119.29944519325672,1.656443224244903
1,640.0,5.368788067067925,119.20753659950773,1.026795455593829
1,757.0,6.352656663963467,119.16274403655595,1.0837336730788685
1,782.0,6.566715522088031,119.08540843129839,1.2760766003768236
1,797.0,6.680720554185166,119.29850882637442,1.2971511590703348
1,804.40625,6.737121754695876,119.39909642264023,1.2385100107254796
1,811.0,6.794109609358436,119.36810658498962,0.99168921962188261
1,791.0,6.649762180602726,118.95162240648804,1.290254732126584
1,643.0,5.393528915935266,119.21693756016518,1.0238658201255915
1,680.0,5.699942685386741,119.29944519325672,1.656443224244903
1,691.0,5.80898134520638,118.95373025603172,1.117288984856214
1,711.5,5.994135827452951,118.69934557394457,1.7927343279298598
1,742.09375,6.230211257459624,119.11213269236549,1.041871365265137
